date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:57:23	633/633	---MCZ	200	added ('OK')	text/plain	date:Sun,%2026%20Apr%202026%2013:57:23%20GMT	https://go-tailwind.preview.uideck.com/robots.txt		(from )
16:57:23	196946/196946	---MCZ	200	added ('OK')	text/html	date:Sun,%2026%20Apr%202026%2013:57:24%20GMT	https://go-tailwind.preview.uideck.com/	C:/My%20Web%20Sites/lighttolife/go-tailwind.preview.uideck.com/index.html	(from )
16:57:24	15406/15406	---MCZ	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%22e20afb6345ffbdbf1eb1a029f73c3c32%22	https://go-tailwind.preview.uideck.com/favicon.ico	C:/My%20Web%20Sites/lighttolife/go-tailwind.preview.uideck.com/favicon.ico	(from https://go-tailwind.preview.uideck.com/)
16:57:25	67887/67887	---MCZ	200	added ('OK')	text/css	etag:W/%220732a430fa114e5edcd55d03193309a2%22	https://go-tailwind.preview.uideck.com/style.css	C:/My%20Web%20Sites/lighttolife/go-tailwind.preview.uideck.com/style.css	(from https://go-tailwind.preview.uideck.com/)
16:57:25	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Sun,%2026%20Apr%202026%2013:57:25%20GMT	https://go-tailwind.preview.uideck.com/index.html	C:/My%20Web%20Sites/lighttolife/go-tailwind.preview.uideck.com/index-2.html	(from https://go-tailwind.preview.uideck.com/)
16:57:26	7130/7130	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22464a9c8d2170b0fcd208b64d8c0bedd1%22	https://go-tailwind.preview.uideck.com/src/images/logo/logo-dark.svg	C:/My%20Web%20Sites/lighttolife/go-tailwind.preview.uideck.com/src/images/logo/logo-dark.svg	(from https://go-tailwind.preview.uideck.com/)
16:57:27	7133/7133	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%227d11ee2959e7c7046f57d712ffe403cf%22	https://go-tailwind.preview.uideck.com/src/images/logo/logo-light.svg	C:/My%20Web%20Sites/lighttolife/go-tailwind.preview.uideck.com/src/images/logo/logo-light.svg	(from https://go-tailwind.preview.uideck.com/)
16:57:27	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Sun,%2026%20Apr%202026%2013:57:28%20GMT	https://go-tailwind.preview.uideck.com/blog-grids.html	C:/My%20Web%20Sites/lighttolife/go-tailwind.preview.uideck.com/blog-grids.html	(from https://go-tailwind.preview.uideck.com/)
16:57:28	90002/90002	---MCZ	200	added ('OK')	text/html	date:Sun,%2026%20Apr%202026%2013:57:28%20GMT	https://go-tailwind.preview.uideck.com/blog-grids	C:/My%20Web%20Sites/lighttolife/go-tailwind.preview.uideck.com/blog-grids.html	(from https://go-tailwind.preview.uideck.com/)
16:57:28	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Sun,%2026%20Apr%202026%2013:57:28%20GMT	https://go-tailwind.preview.uideck.com/blog-details.html	C:/My%20Web%20Sites/lighttolife/go-tailwind.preview.uideck.com/blog-details.html	(from https://go-tailwind.preview.uideck.com/)
16:57:28	48356/48356	---MCZ	200	added ('OK')	text/html	date:Sun,%2026%20Apr%202026%2013:57:29%20GMT	https://go-tailwind.preview.uideck.com/blog-details	C:/My%20Web%20Sites/lighttolife/go-tailwind.preview.uideck.com/blog-details.html	(from https://go-tailwind.preview.uideck.com/)
16:57:29	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Sun,%2026%20Apr%202026%2013:57:29%20GMT	https://go-tailwind.preview.uideck.com/404.html	C:/My%20Web%20Sites/lighttolife/go-tailwind.preview.uideck.com/404.html	(from https://go-tailwind.preview.uideck.com/)
16:57:29	36025/36025	---MCZ	200	added ('OK')	text/html	date:Sun,%2026%20Apr%202026%2013:57:30%20GMT	https://go-tailwind.preview.uideck.com/404	C:/My%20Web%20Sites/lighttolife/go-tailwind.preview.uideck.com/404.html	(from https://go-tailwind.preview.uideck.com/)
16:57:30	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Sun,%2026%20Apr%202026%2013:57:30%20GMT	https://go-tailwind.preview.uideck.com/signin.html	C:/My%20Web%20Sites/lighttolife/go-tailwind.preview.uideck.com/signin.html	(from https://go-tailwind.preview.uideck.com/)
16:57:30	47912/47912	---MCZ	200	added ('OK')	text/html	date:Sun,%2026%20Apr%202026%2013:57:31%20GMT	https://go-tailwind.preview.uideck.com/signin	C:/My%20Web%20Sites/lighttolife/go-tailwind.preview.uideck.com/signin.html	(from https://go-tailwind.preview.uideck.com/)
16:57:31	0/0	---M--	308	error ('Permanent%20Redirect')	text/html	date:Sun,%2026%20Apr%202026%2013:57:32%20GMT	https://go-tailwind.preview.uideck.com/signup.html	C:/My%20Web%20Sites/lighttolife/go-tailwind.preview.uideck.com/signup.html	(from https://go-tailwind.preview.uideck.com/)
16:57:32	49156/49156	---MCZ	200	added ('OK')	text/html	date:Sun,%2026%20Apr%202026%2013:57:32%20GMT	https://go-tailwind.preview.uideck.com/signup	C:/My%20Web%20Sites/lighttolife/go-tailwind.preview.uideck.com/signup.html	(from https://go-tailwind.preview.uideck.com/)
16:57:34	141905/141905	---M--	200	added ('OK')	image/jpeg	etag:%2274cc58b01f77f60da694cc2736aad80b%22	https://go-tailwind.preview.uideck.com/src/images/hero/image-1.jpg	C:/My%20Web%20Sites/lighttolife/go-tailwind.preview.uideck.com/src/images/hero/image-1.jpg	(from https://go-tailwind.preview.uideck.com/)
16:57:36	235237/235237	---M--	200	added ('OK')	image/jpeg	etag:%22755f304d305bc6be8203a548023951cd%22	https://go-tailwind.preview.uideck.com/src/images/hero/image-2.jpg	C:/My%20Web%20Sites/lighttolife/go-tailwind.preview.uideck.com/src/images/hero/image-2.jpg	(from https://go-tailwind.preview.uideck.com/)
16:57:37	70584/70584	---M--	200	added ('OK')	image/jpeg	etag:%2274aa874b3d420ab6abda2ec1e8714938%22	https://go-tailwind.preview.uideck.com/src/images/about/image-2.jpg	C:/My%20Web%20Sites/lighttolife/go-tailwind.preview.uideck.com/src/images/about/image-2.jpg	(from https://go-tailwind.preview.uideck.com/)
16:57:37	132306/132306	---M--	200	added ('OK')	image/jpeg	etag:%22a8b45620110436ebf2ecb8119ddc809a%22	https://go-tailwind.preview.uideck.com/src/images/about/image-1.jpg	C:/My%20Web%20Sites/lighttolife/go-tailwind.preview.uideck.com/src/images/about/image-1.jpg	(from https://go-tailwind.preview.uideck.com/)
16:57:40	71905/71905	---M--	200	added ('OK')	image/jpeg	etag:%22e8cc6a86fb79ad807984a9a20505b73a%22	https://go-tailwind.preview.uideck.com/src/images/team/image-1.jpg	C:/My%20Web%20Sites/lighttolife/go-tailwind.preview.uideck.com/src/images/team/image-1.jpg	(from https://go-tailwind.preview.uideck.com/)
16:57:40	81556/81556	---M--	200	added ('OK')	image/jpeg	etag:%22749bde3f881bc6ecd5600a12ef92a361%22	https://go-tailwind.preview.uideck.com/src/images/team/image-2.jpg	C:/My%20Web%20Sites/lighttolife/go-tailwind.preview.uideck.com/src/images/team/image-2.jpg	(from https://go-tailwind.preview.uideck.com/)
